,star,time,review_content
0,5,1달,"전북 전주 한옥마을한옥들이 즐비한 한옥마을 ~~날씨가 선선해서 여행하기 좋았습니다.맛집들도 많고 예쁜 카페들도 완전 많아요.주변에 경기전 등 유명 명소들도 있어서 여행하기 좋아요.국내 최대 규모의 전통 한옥촌으로 전통과 문화가 함께 공존하는 여행지 전주 한옥마을 입니다^^전주한옥마을은 전라북도 전주시 풍남동과 교동에 위치해 있는데요, 여기에는 우리 한국의 전통 건물인 한옥이 700여 채 이상 밀집되어 있다고 합니다. 급변하는 도시 내에 우리의 옛 것을 그대로 간직하고 있는 곳인데요, 한국의 옛 전통을 맛볼 수 있는 곳으로 너무나 유명한 곳이랍니다.전주한옥마을 여행은 어떻게 하면 좋을까요? 전주비빔밥도 빼놓을 순 없을텐데요. 전주한옥마을에 들러 맨 먼저 들린 곳은 <소리문화관>이란 곳인데요, 내부 연못엔 고무신 한짝이 둥둥 떠있더라고요. 과연 어떤 의미가 있는 걸까요? 예전의 명인 명창들은 산위에 올라 수련을 할 때 옆에다 고무신을 벗어두고 소리 공부를 하였다 합니다. 한 장단이 끝날 때마다 모래 한 알이나 조약돌 한 알씩을 넣어 고무신에 가득 찰 정도로 수련에 심혈을 기울였고, 이들의 소리 공부는 고무신 속에서 풀이 돋아날 정도로 오랜 시간 득음 과정을 거쳤다 합니다. 예나 지금이나 역시 그냥 저절로 되는 건 없지 싶네요.아시다시피 전주는 조선을 건국한 태조 이성계의 본향으로 태조의 고조부 목조 이안사가 함경북도 동북 면 쪽으로 이주해 갈 때까지 그 선대들이 살았던 곳이랍니다. 조선왕조는 건국 후 이를 기념해 이곳 전주에다 <경기전>을 건립하고 여기에 태조의 어진(초상화)을 봉안합니다. 이 씨 왕조가 일어난 경사스러운 터라는 의미입니다.​내부 전시관을 둘러보는데 중앙에 못 들어가게 한곳이 있길래 자세히 바라보게 되더군요. '자만동금표'라고 하는데... 이 '금표'하면 떠오르는 왕이 따로 있습니다. 바로 연산군! 본인 여가활동(사냥놀이)을 위해서 백성들이 살던 집을 버리고 이주를 하게끔 만들어 버렸던...​또 이곳 경기전에는 왕들의 초상화를 모셔둔 곳이 있는데요. 역대 임금 중에서 가장 보고 싶은 얼굴은 과연 누구실까요? 현재 초상화가 남아 있는 왕은 태조, 영조(우측 사진), 철종 임금이라고 합니다.역사의 한 부분도 배울수있는 곳~~"
1,5,2달,"1박 2일로 전주한옥마을 방문했었는데, 전라도를 다녀온 사람들은 다들 바가지 안씌우고, 관광지 치고는 저렴하다는 말을 오래전에 들은 기억이 있어요...좋은 느낌 그대로~~한복체험, 경성복체험, 한옥마을 안에서만 운행하는 4인승 차랑대여, 헤나, 케리커쳐, 타로, 할수 있는체험은 1박 2일동안 다 하고 왔네요^^ 근데....가격은 3천원, 5천원, 만원 붙여놓고, 들어가면 2. 3만원이 기본이니 관광지라는 것~ 감안 하시고~~ 다들 친절하고 즐거운 시간 이었습니다. 마지막으로 스물다섯 스물하나 나희도네 집앞에서 한컷...전주한옥마을 아직 안가봤다면 한번은 가보세요. 추천드려요^^단,맨 마지막 사진올린 한곳 이집은 가지마세요.스케치사진관과 경성한복집 같이 하는데....제가 첫날 다른집을 안가봤다면 몰랐을건데...서비스0점 친절도 0점 그냥 사진관만 하지...."
2,5,5달,4번째 방문입니다.어디로 가든 중간에 들려서 2~3시간은 걷고 먹고 즐기는 코스입니다.과거의 여행을 떠났다가 정신차리면 현재로 돌아오는곳 예쁘면서도 정겨운곳 대한민국을 더욱가치있게 만들어 주는곳이전주한옥 마을입니다.바겟리스트에 넣어보세요^♥^
3,4,6달,한옥마을 다니려면 오전에 공영주차장에 주차를 하고 다니면 좋을것 같아요오후에는 금방 만차가되서 기다리는 시간이 오래걸릴것 같고요오목대에 올라가서 한옥마을을 쭉 둘러본뒤건너에있는 자만벽화마을에 가서 벽화구경..벽화마을이 다른 지역에 있는것보다 조금 규모가 작은 느낌이 들고요식사는 한정식이나 떡갈비 칼국수등 취향에 따라 먹으면 될것 같은데 다소 비싼것 같네요주전부리로 닭꼬치 육전 딸기탕후루 등 간식거리도 많고요한복 대여해서 이곳저곳 다니면서 사진찍는것도 좋은것 같고요
4,5,2달,가족들과 함께 어린이날에 방문했는데 사람들이 겁나 많았고 가는데도 시간이 4시간 정도 걸려서 힘들긴 했지만 저에겐 어린이날의 큰 선물이 되었고 잊지 못할 추억이 되었습니다!! 오늘 이곳에서 즐거운 하루 보내고 왔습니다~^^
5,5,1달,"전통공예및 도자기만들기 체험을하고왔어요~한복체험도할수있는대 한복대여 하면 머리장식,손질등 무료로 해준답니다.사진을저렴하게 찍어주는곳도많습니다.(단.액자가격 미포함 흑백5000원,컬러6000원)"
6,5,3달,아주 훌륭합니다 실제로 규모가 이렇게 큰 줄 몰랐고 굉장히 넓네요! 안에 정겨운 분위기도 좋고 상권도 형성도 잘 되있어서 관광이나 데이트코스로 정말 괜찮을 것 같네요^^
7,5,1달,"전주에 온게 몇번 일까?? 벌써 3번이상은 된거 같다. 여러나라를 돌아다니면서 한번도 같은 장소에 2번 가고 싶다는 생각보다는 새로운 곳을 가고 싶다고 느끼는 성격탓에 돌아다니지만, 전주는 다시 방문하고 싶은 매력이 있는 곳이다.한국의 여행지를 돌아다니다보면 일관성있는 무언가를 하는게 어렵다는 걸 느끼곤 하는데 전주는 처음의 한옥마을의 일관성을 지키면서 다양한 방식으로 새로운 것들이 추가된다.전주에서 듣는 재즈의 소리는 그 곳의 풍경과 함께 너무도 새로웠다. 문화재 야경때문에 왔지만 좋은 음악도 듣고 너무 좋은 하루였음"
8,5,2달,"항상 전주 한옥 마을을 방문하면, 시끌벅적하고 붐비는 중심가를 지나 한옥 마을이 한눈에 보이는 뒷산을 오릅니다.해가 질 때 쯤 보이는 전경과 솔솔 부는 간지러운 바람은 힐링이 됩니다.야간의 모습은 주간의 모습과 또 다른 매력이있습니다."
9,4,2달,월요일에 방문해서 그런지 영업을 하지 않는곳도 많았고 코로나 영향으로 빈가게들이 많아서 좀 안타까운 맘이 들었다.대체적으로 주점부리들이 좀 비싼편 이었고 야외테라스 공간들이 많아서 반려견과 함께 추억쌓기에는 부족함이 없었던것 같다. 한옥들 보다 한복대여점이 더 많은 것 같아서 좀 아쉬웠다.
